,Id,CodePostal,Latitude,Longitude,Coordonnées,lien
27,10333,34500,43.34784945,3.221014566797395,"43.34784945,3.221014566797395",https://si.eeudf.org/lieu/voir/10333
28,10338,67130,48.4783917,7.201094651318517,"48.4783917,7.201094651318517",https://si.eeudf.org/lieu/voir/10338
29,10340,56230,47.692429149999995,-2.4480004743112653,"47.692429149999995,-2.4480004743112653",https://si.eeudf.org/lieu/voir/10340
30,10350,67260,48.9683605,7.062943701897101,"48.9683605,7.062943701897101",https://si.eeudf.org/lieu/voir/10350
31,10351,88200,48.02451485,6.572264331506521,"48.02451485,6.572264331506521",https://si.eeudf.org/lieu/voir/10351
32,10364,56130,47.5352466,-2.239351557072281,"47.5352466,-2.239351557072281",https://si.eeudf.org/lieu/voir/10364
33,10370,24700,45.0248541,0.12182525752224525,"45.0248541,0.12182525752224525",https://si.eeudf.org/lieu/voir/10370
34,10376,26160,44.5527752,4.9406225990872334,"44.5527752,4.9406225990872334",https://si.eeudf.org/lieu/voir/10376
35,10381,38270,45.3601585,5.015136289601344,"45.3601585,5.015136289601344",https://si.eeudf.org/lieu/voir/10381
36,10391,24130,44.90619365,0.33897743349365417,"44.90619365,0.33897743349365417",https://si.eeudf.org/lieu/voir/10391
37,10415,36330,46.724472500000005,1.6840876038515797,"46.724472500000005,1.6840876038515797",https://si.eeudf.org/lieu/voir/10415
38,10416,29510,48.0964161,-4.000129767991873,"48.0964161,-4.000129767991873",https://si.eeudf.org/lieu/voir/10416
39,10422,76810,49.81736325,0.9028302823322247,"49.81736325,0.9028302823322247",https://si.eeudf.org/lieu/voir/10422
40,10431,45210,48.07627,2.856076750792367,"48.07627,2.856076750792367",https://si.eeudf.org/lieu/voir/10431
41,10434,81260,43.59671185,2.5198091539345917,"43.59671185,2.5198091539345917",https://si.eeudf.org/lieu/voir/10434
42,10448,37330,47.53081765,0.31375722402799766,"47.53081765,0.31375722402799766",https://si.eeudf.org/lieu/voir/10448
43,10449,30170,43.94789055,3.862769659802935,"43.94789055,3.862769659802935",https://si.eeudf.org/lieu/voir/10449
44,10456,43430,44.9704497,4.247638177418526,"44.9704497,4.247638177418526",https://si.eeudf.org/lieu/voir/10456
45,10457,43430,44.9704497,4.247638177418526,"44.9704497,4.247638177418526",https://si.eeudf.org/lieu/voir/10457
46,10460,79800,46.37623835,-0.08699799991298154,"46.37623835,-0.08699799991298154",https://si.eeudf.org/lieu/voir/10460
47,10462,59140,51.04029145,2.3494726091914684,"51.04029145,2.3494726091914684",https://si.eeudf.org/lieu/voir/10462
48,10465,07110,44.55172225,4.250077936356515,"44.55172225,4.250077936356515",https://si.eeudf.org/lieu/voir/10465
49,10467,30270,44.10973835,3.886665907095348,"44.10973835,3.886665907095348",https://si.eeudf.org/lieu/voir/10467
